GEOID10,allProperties,incomeProperties
060371012101002,0.1898038049940547,0.2306575963718821
060371012101003,0.3976859504132231,0.5891358024691358
060371012101004,0.09244826659500129,0.1188750109179841
060371012101006,0.3626543209876543,0.3626543209876543
060371012101007,0.2627193536169676,0.30120481927710846
060371012101008,0.5702479338842975,0.6800000000000002
060371012101009,1.0,
060371012101011,0.4067952249770431,0.5994513031550067
060371012102000,0.10934601664684901,0.16869797859690844
060371012102001,0.06431584640346143,0.10480834737710207
060371012102002,0.146936091991037,0.2115895903277766
060371012102003,0.08943413309189678,0.11907593001528793
060371012102004,0.03689007378014755,0.07941701368233194
060371012102005,0.09195266272189351,0.12677685950413223
060371012102006,0.044897959183673466,0.17346938775510204
060371012102007,0.078125,1.0
060371012102008,0.023843723068083883,0.42857142857142855
060371012102009,0.5555555555555556,1.0
060371012201000,0.030303030303030318,
060371012201001,0.038265306122448994,
060371012201002,0.04347826086956521,1.0
060371012201003,0.05919999999999999,0.24380165289256195
060371012201004,0.04709141274238228,0.42857142857142855
060371012201005,0.18491735537190088,0.27006172839506176
060371012201006,0.022189349112426027,0.33333333333333337
060371012201007,0.02197265625,0.25
060371012201008,0.02465397923875432,0.08673469387755102
060371012202000,0.03213957759412306,0.375
060371012202001,0.06271626297577856,0.206530612244898
060371012202002,0.11224489795918367,0.625
060371012202003,0.013508395404620644,0.08500000000000002
060371012202004,0.05917159763313612,0.10591672753834919
060371012202005,0.08504841922117169,0.10671753959995375
060371012202006,0.20833333333333331,0.2892561983471074
060371012202007,0.03213957759412306,
060371012202008,0.18000000000000005,0.3888888888888889
060371012202009,0.09876543209876543,0.2066115702479339
060371012202010,0.3985938345051381,1.0
060371012202011,0.03571428571428573,
060371012202012,0.04166666666666668,
060371012202013,0.23553719008264454,1.0
060371013001000,0.016464987105732985,0.5
060371013001001,0.20000000000000004,
060371013001002,1.0,
060371013001003,0.25,
060371013001004,0.05263157894736843,
060371013001005,0.06666666666666667,1.0
060371013001006,0.0625,1.0
060371013001008,0.5,
060371013001009,0.09090909090909091,
060371013001010,0.09090909090909091,
060371013001011,0.1111111111111111,
060371013001012,0.05000000000000003,
060371013001013,0.0166015625,0.375
060371013001014,0.03433922996878252,0.14285714285714285
060371013001015,0.006933333333333322,0.18518518518518517
060371013001017,0.10000000000000003,
060371013001018,0.07142857142857142,
060371013002000,0.10743801652892562,0.25
060371013002001,0.01250000000000001,1.0
060371013002002,0.07142857142857142,
060371013002003,0.007042253521126735,
060371013002004,0.03571428571428573,
060371013002006,0.015857988165680455,
060371013002007,0.01960784313725493,
060371013002008,0.034482758620689634,
060371013002010,0.06666666666666667,
060371013002012,0.05000000000000003,1.0
060371013003000,0.02380952380952379,
060371013003001,0.033203125,
060371013003002,0.01250000000000001,
060371013003003,0.01427469135802472,
060371013003004,0.02173913043478261,
060371013003005,0.06666666666666667,
060371013003006,0.07692307692307694,
060371013003007,0.03333333333333333,
060371013004000,0.0432,1.0
060371013004001,0.037037037037037014,
060371013004002,0.02617283950617287,0.375
060371013004003,0.019890260631001355,
060371013004004,0.03333333333333333,
060371013004005,0.037037037037037014,1.0
060371013004006,0.027700831024930758,1.0
060371013004007,0.039999999999999994,
060371013004008,0.03846153846153847,
060371014001000,0.2614305115436849,0.466530612244898
060371014001001,0.06666666666666667,
060371014001002,0.1111111111111111,1.0
060371014001003,0.03225806451612904,1.0
060371014001004,0.034482758620689634,1.0
060371014001005,0.1111111111111111,
060371014001006,0.09090909090909091,
060371014001007,0.04526748971193414,
060371014001008,0.12000000000000005,1.0
060371014001009,0.125,
060371014001010,0.16666666666666669,
060371014001011,0.6239907727797002,0.6751353602665555
060371014001012,0.05000000000000003,1.0
060371014002000,0.011851851851851874,0.375
060371014002001,0.0032036693393088338,0.3600000000000001
060371014002003,0.13580246913580246,
060371014002004,0.10000000000000003,
060371014002005,0.125,
060371014002006,0.09333333333333335,1.0
060371014002007,0.04166666666666668,
060371014002008,0.5,
060371014002009,0.125,
060371014002010,0.5,
060371014002011,0.20000000000000004,
060371014002012,0.09090909090909091,1.0
060371014002015,0.14285714285714285,
060371014002016,0.04347826086956521,
060371014002017,0.08333333333333336,
060371014002021,0.5,
060371014002022,0.05882352941176469,
060371014002023,1.0,
